License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
62427,The Veridian At Silver Spring Metro,1133 East West Hwy,Silver Spring,20910,178097,-77.027783253,38.989346504,06/15/2023,,3,1,457,110,0.54,0.72,68,0.00,0.00,compliant,"(38.9893, -77.0278)"
17369,"Schrider Street, 8115",8115 Schrider St,Silver Spring,20910,178075,-77.014090876,38.991809103,04/18/2023,,2,1,9,11,3.72,1.67,2,0.27,0.00,troubled,"(38.9918, -77.0141)"
17200,Seneca Ridge,19568 Scenery Dr,Germantown,20876,177536,-77.234887494,39.176871982,04/13/2023,,3,1,71,58,1.62,1.13,26,0.05,0.00,compliant,"(39.1769, -77.2349)"
17632,The Point At Germantown,2 Observation Ct,Germantown,20876,175575,-77.24749447,39.192139826,03/29/2023,,2,1,218,63,0.85,1.11,28,0.03,0.00,compliant,"(39.1921, -77.2475)"
17286,"Kennebec Avenue, 903",903 KENNEBEC AVE,Takoma Park,20912,158817,-76.99942652,38.990244863,01/23/2020,,2,0,1,0,0.00,0.00,0,0.00,0.00,TBD,"(38.9902, -76.9994)"
17292,Summit Hills,8484 16Th St,Silver Spring,20910,178095,0,0,05/23/2023,,3,1,112,269,2.80,1.88,30,0.03,0.00,troubled,"(0.0, 0.0)"
17303,Belvedere,2107 Belvedere Blvd,Silver Spring,20902,178085,0,0,05/30/2023,,1,1,93,89,2.43,1.14,28,0.10,0.03,at-risk,"(0.0, 0.0)"
150981,"Clareton, The",4740 BRADLEY BLVD,CHEVY CHASE,20815,171024,-77.094244288,38.977617837,02/10/2022,,3,1,100,18,0.11,0.27,16,0.00,0.00,compliant,"(38.9776, -77.0942)"
17300,Fields Of Bethesda,5079 Bradley Blvd,Bethesda,20815,177571,-77.100363962,38.977849147,04/10/2023,,3,1,369,123,1.60,2.21,20,0.06,0.00,at-risk,"(38.9778, -77.1004)"
17477,North Park Apartments,4615 PARK AVE N,CHEVY CHASE,20815,177635,-77.092411124,38.963673796,03/08/2023,,3,1,310,74,0.85,0.98,38,0.00,0.00,compliant,"(38.9637, -77.0924)"
17475,"Flower Avenue, 8609",8609 FLOWER AVE,TAKOMA PARK,20912,160566,-77.002920417,38.996999258,01/04/2023,,3,1,3,0,0.00,0.00,0,0.00,0.00,TBD,"(38.997, -77.0029)"
